eval/mean_reward,rollout/ep_len_mean,_step,curriculum/ent_coef,curriculum/pct_within_6m,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/std,curriculum/phase,train/clip_range,_timestamp,global_step,curriculum/success_rate,_runtime,train/entropy_loss,train/approx_kl,time/fps,train/learning_rate,curriculum/wall_hit_rate,train/value_loss,curriculum/pct_within_2m,eval/mean_ep_length,curriculum/median_landing_dist,curriculum/pct_within_1m,curriculum/mean_landing_dist,train/clip_fraction,train/loss
,,1494,,,,,,,2.0,,1776368419.033487,1777664.0,,362.805647334,,,,,,,,,,,,,
,,1511,,,,,,,,,1776368423.891392,1799280.0,,367.806261209,,,,,,0.1231847,,,,,,,
-12.452055,,1525,,,,,,,,,1776368429.378088,1824270.0,,372.807412459,,,,,,,,,,,,,
,,1539,,,,,,,,,1776368431.351934,1835008.0,,372.807901209,,,,,,,,,,0.0,,,
,,1551,,,,,,,,,1776368434.863106,1849260.0,,377.809201625,,,,,,,,,,,,0.39488003,
,,1585,,,,,,,,,1776368443.644758,1892352.0,,387.812052667,,,,,,,,,,,9.349682,,
,,1627,,,,,,,,,1776368451.3486211,1924230.0,,392.813803042,,,,0.0003,,,,,,,,,
,1.0,1643,,,,,,,,,1776368456.04607,1949696.0,,397.815294209,,,,,,,,,,,,,
,,1673,,,,,,,,,1776368466.927763,1999200.0,,407.817680417,,,,,,,,,,,,0.3818708,
,,1700,,,,0.41115814,,,,,1776368472.401435,2024190.0,,412.818783834,,,,,,,,,,,,,
,,1709,,,,,,,,,1776368474.4803681,2035712.0,,417.819271834,,,,,,,,,,0.0,,,
,,1716,,,-9.116933,,,,,,1776368474.4803998,2035712.0,,417.819309875,,,,,,,,,,,,,
,,1762,,,,,,,,,1776368486.7138581,2093056.0,,427.822717792,,,,,14.0,,,,,,,,
,,1780,,,,,,,,,1776368492.808088,2121728.0,,432.824000125,,,,,,,,,7.2217393,,,,
,,1782,,,,,,,,,1776368492.808098,2121728.0,,432.824008709,,,,,,,0.0,,,,,,
,,1800,,,,,,0.14295337,,,1776368494.150765,2124150.0,,437.8248175,,,,,,,,,,,,,
-11.008908,,1803,,,,,,,,,1776368498.679399,2149140.0,,442.826598375,,,,,,,,,,,,,
,,1828,0.05,,,,,,,,1776368504.993491,2179072.0,,447.828493417,,,,,,,,,,,,,
,,1830,,,,,,,,,1776368504.9935172,2179072.0,,447.828504417,,,,,,,,,7.2501483,,,,
,,1836,,,,,,,,,1776368504.9935439,2179072.0,,447.828538834,,,,,15.5,,,,,,,,
,,1867,,,,,,,,,1776368515.055548,2224110.0,,457.831317125,,,,,,,,,,,,0.23888811,
,,1869,,,,,,,,,1776368515.055558,2224110.0,,457.831327084,4.896853,,,,,,,,,,,,
,,1944,,,,,,,,,1776368531.254944,2299080.0,,472.835774334,,,,,,,,,,,,,0.42512673
,,2090,,,,,,,,,1776368567.955271,2474010.0,,507.847492125,,,,,,,,,,,,,0.35987526
,,2159,,,,,,,,,1776368588.41489,2573970.0,,532.853901125,,,,,,,,,,,,0.42761928,
,,2166,,,,,,0.056086507,,,1776368588.4149172,2573970.0,,532.853933584,,,,,,,,,,,,,
,,2200,,,,,,,,,1776368595.6819048,2609152.0,,537.855778459,,,,,5.0,,,,,,,,
,,2260,,,,,,,,,1776368609.76677,2673930.0,,552.859900875,,,,,,,,,,,,,0.46354845
,,2275,,,,,,,,,1776368613.641469,2695168.0,,557.861213917,,,4894.0,,,,,,,,,,
,,2357,,,,,,,,,1776368633.960902,2798880.0,,577.867481125,,,,0.0003,,,,,,,,,
,,2373,,,,,,,,,1776368636.003278,2809856.0,,577.867628792,,,4903.0,,,,,,,,,,
,,2378,,,,,,,,0.2,1776368639.038492,2823870.0,,582.86942,,,,,,,,,,,,,
,,2400,,,,,,,,,1776368643.732952,2848860.0,,587.871062792,,0.042546064,,,,,,,,,,,
,,2422,,,,,,,,,1776368648.7739651,2873850.0,,592.872164917,,,,,,,,1.0,,,,,
,,2454,,,,,,,,,1776368653.5168178,2898840.0,,597.873657375,,,,,,,,,,,,,0.5390907
-11.31428,,2459,,,,,,,,,1776368658.236949,2923830.0,,602.875056417,,,,,,,,,,,,,
,,2520,,,,,,,,,1776368673.277478,2998800.0,,617.878113792,,,,,,,,1.0,,,,,
,,2572,,,,,,,,0.2,1776368683.03147,3048780.0,,622.879804542,,,,,,,,,,,,,
,,2578,,,,,,0.03286528,,,1776368683.031494,3048780.0,,622.880077959,,,,,,,,,,,,,
,,2606,,,,,,,,,1776368692.24267,3096576.0,,632.882081084,,,,,,,,,4.75112,,,,
,,2615,,,,,,,,,1776368692.242811,3096576.0,,632.8821345,,,4920.0,,,,,,,,,,
,,2621,,,,,,,,,1776368692.732161,3098760.0,,632.882671709,8.550123,,,,,,,,,,,,
,,2646,,,,,,,,0.2,1776368702.44742,3148740.0,,642.886314334,,,,,,,,,,,,,
,,2670,,,,,,,,0.2,1776368707.4449868,3173730.0,,647.887631375,,,,,,,,,,,,,
,,2717,,,,,,,,,1776368717.067801,3223710.0,,657.890347667,,,,,,,,,,,,0.36104912,
-11.509623,,2739,,,,,,,,,1776368721.8641632,3248700.0,,662.892227875,,,,,,,,,,,,,
,1.0,2833,,,,,,,,,1776368742.3107772,3354624.0,,682.89761,,,,,,,,,,,,,
,,2844,,,,,,,,,1776368746.1639528,3373650.0,,687.898213042,,,,,,,,,,,,,0.6452477
,,2863,,,,,,,,,1776368750.9877791,3398640.0,,692.899815667,,,,,,,,,,,,0.4397848,
,,2871,,,,,,,,,1776368750.987915,3398640.0,,692.899856,,,,,,0.082080506,,,,,,,
,,2874,,,,,,,,,1776368753.5078819,3411968.0,,697.901324875,,,,,,,,,4.374453,,,,
-10.251454,,2909,,,,,,,,,1776368760.765929,3448620.0,,702.90347225,,,,,,,,,,,,,
,,2939,,,,,,,,,1776368765.707073,3473610.0,,707.905508792,,,,0.0003,,,,,,,,,
,,2941,,,,,0.09444604,,,,1776368765.7070808,3473610.0,,707.905534042,,,,,,,,,,,,,
,,2992,,,,,,0.02927567,,,1776368780.4579399,3548580.0,,722.912217667,,,,,,,,,,,,,
,,3018,0.05,,,,,,,,1776368787.2685251,3584000.0,,727.914686292,,,,,,,,,,,,,
,,3052,,,-4.530166,,,,,,1776368792.8219872,3612672.0,,732.915695209,,,,,,,,,,,,,
,,3066,0.05,,,,,,,,1776368798.457246,3641344.0,,742.920381834,,,,,,,,,,,,,
,,3073,,,,,,,,,1776368798.457294,3641344.0,0.0,742.920445959,,,,,,,,,,,,,
,,3096,,,,,,,2.0,,1776368804.013196,3670016.0,,747.924325959,,,,,,,,,,,,,
,,3108,,,,0.2762375,,,,,1776368804.727957,3673530.0,,747.924436584,,,,,,,,,,,,,
,,3111,,,,,0.057834536,,,,1776368804.727969,3673530.0,,747.924459625,,,,,,,,,,,,,
-11.354272,,3153,,,,,,,,,1776368819.2921221,3748500.0,,762.931297875,,,,,,,,,,,,,
,,3202,,,,,,,,,1776368829.091501,3798480.0,,772.937141209,,0.04918513,,,,,,,,,,,
,,3206,,,,0.37527883,,,,,1776368829.091517,3798480.0,,772.937162459,,,,,,,,,,,,,
,,3214,,,,,,,,,1776368831.980739,3813376.0,,772.9373555,,,,,,,,,4.3099074,,,,
,,3223,,,,,,,,,1776368831.980902,3813376.0,,772.937564584,,,4958.0,,,,,,,,,,
,,3318,,,,,,,,,1776368854.435005,3928064.0,,797.947094084,,,,,0.5,,,,,,,,
,1.0,3343,,,,,,,,,1776368860.028801,3956736.0,,802.949767125,,,,,,,,,,,,,
,,3372,,,,,,,,,1776368868.217747,3998400.0,,807.95198275,,0.0777171,,,,,,,,,,,
,,3393,,,,,,,,,1776368871.350365,4014080.0,,812.952913584,,,4965.0,,,,,,,,,,
,,3398,,,,,,,,0.2,1776368873.2443268,4023390.0,,817.955637417,,,,,,,,,,,,,
,,3485,,98.0,,,,,,,1776368893.779988,4128768.0,,837.964012709,,,,,,,,,,,,,
,,3492,,,,,,,,,1776368897.615327,4148340.0,,837.964081,,,,,,,,1.0,,,,,
,,3494,,,,,,,,,1776368897.61535,4148340.0,,837.964100667,,0.05556136,,,,,,,,,,,
,,3515,,,,,,,,,1776368899.355537,4157440.0,,842.966721792,,,4970.0,,,,,,,,,,
,,3528,0.05,,,,,,,,1776368904.9023418,4186112.0,,847.967587667,,,,,,,,,,,,,
,,3535,,,,,,,,,1776368904.902385,4186112.0,0.005,847.967649292,,,,,,,,,,,,,
,,3610,,,-3.466735,,,,,,1776368921.636255,4272128.0,,862.975246625,,,,,,,,,,,,,
,,3619,,,,,,,,,1776368921.893883,4273290.0,,862.975426459,,,,0.0003,,,,,,,,,
,,3676,,,,,,,,,1776368938.435638,4358144.0,,882.982534167,,,,,,,,,3.649624,,,,
,,3677,,,,,,,,,1776368938.435642,4358144.0,,882.982543959,,,,,,,,,,0.5,,,
,,3723,,,,,,,,,1776368949.580888,4415488.0,,892.986819334,,,,,,,,,,,3.6335986,,
-12.105955,,3783,,,,,,,,,1776368961.129798,4473210.0,,902.990636167,,,,,,,,,,,,,
,,3815,,,,,,,,,1776368971.087903,4523190.0,,912.995948875,,,,0.0003,,,,,,,,,
,,3861,,,,,,,,,1776368980.866648,4573170.0,,923.000173459,9.595941,,,,,,,,,,,,
,,3871,,,,,,,,,1776368983.654916,4587520.0,,928.00289975,,,,,,,,,,1.0,,,
,,3878,,,-3.25399,,,,,,1776368983.654944,4587520.0,,928.002935167,,,,,,,,,,,,,
-10.898015,,3881,,,,,,,,,1776368985.769918,4598160.0,,928.002950917,,,,,,,,,,,,,
,,3897,,97.0,,,,,,,1776368989.262163,4616192.0,,933.005028709,,,,,,,,,,,,,
,,3923,,,,,,,,,1776368994.9173691,4644864.0,0.02,938.008048167,,,,,,,,,,,,,
,,3966,0.05,,,,,,,,1776369006.241427,4702208.0,,948.01327275,,,,,,,,,,,,,
,,3976,,,-2.9392002,,,,,,1776369006.2414908,4702208.0,,948.013325959,,,,,,,,,,,,,
,,4016,,,,,,,,,1776369017.578358,4759552.0,,958.018738084,,,,,,,,,3.6099184,,,,
,,4054,,,,,,,,0.2,1776369025.5232708,4798080.0,,968.020653959,,,,,,,,,,,,,
,,4102,,,,,,,,0.2,1776369035.396138,4848060.0,,978.025562667,,,,,,,,,,,,,
,,4141,,92.5,,,,,,,1776369046.2325828,4902912.0,,988.028629834,,,,,,,,,,,,,
,,4162,,,,,,,,,1776369051.909118,4931584.0,,993.031179917,,,,,,,,,3.7634084,,,,
,,4177,,,,,,,,,1776369055.205933,4948020.0,,998.034136667,9.755788,,,,,,,,,,,,
